outcome,factor,level,ExperienceGroup,WWR,Complexity,DateBatch,n_subjects,n_trials,n_rows,mean,sd,se,ci95_low,ci95_high,median,interpretation_note
q_S1,DateBatch:WWR:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;WWR=75;ExperienceGroup=Low,Low,75,,Second_2026-05-01_or_later,5,19,19,5.684210526315789,1.1081832770072813,0.2542346797577094,5.185910553990679,6.1825104986409,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,ExperienceGroup,ExperienceGroup=High,High,,,,16,177,177,5.745762711864407,1.121989208630597,0.08433387321292254,5.580468320367078,5.911057103361735,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,ExperienceGroup,ExperienceGroup=Low,Low,,,,26,276,276,5.326086956521739,1.4630630060540095,0.08806604405102092,5.153477510181738,5.49869640286174,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,WWR:ExperienceGroup,WWR=15;ExperienceGroup=High,High,15,,,16,59,59,6.0508474576271185,1.057383380927025,0.13765959085211105,5.781034659556981,6.320660255697256,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,WWR:ExperienceGroup,WWR=15;ExperienceGroup=Low,Low,15,,,26,91,91,5.571428571428571,1.3177662677834552,0.1381394396861031,5.3006752696438095,5.842181873213333,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,WWR:ExperienceGroup,WWR=45;ExperienceGroup=High,High,45,,,16,58,58,5.586206896551724,1.0435177140809475,0.1370205886619011,5.317646542774398,5.854767250329051,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,WWR:ExperienceGroup,WWR=45;ExperienceGroup=Low,Low,45,,,26,91,91,5.175824175824176,1.5462744229161234,0.1620936030953907,4.85812071375721,5.493527637891142,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,WWR:ExperienceGroup,WWR=75;ExperienceGroup=High,High,75,,,16,60,60,5.6,1.2101267618150657,0.15622669317698862,5.293795681373102,5.906204318626897,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,WWR:ExperienceGroup,WWR=75;ExperienceGroup=Low,Low,75,,,26,94,94,5.23404255319149,1.498569439085541,0.15456563584669497,4.9310939069319675,5.536991199451012,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,Complexity:ExperienceGroup,Complexity=0;ExperienceGroup=High,High,,0,,16,89,89,5.764044943820225,1.0873494870776408,0.11525881511283022,5.538137666199078,5.989952221441372,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,Complexity:ExperienceGroup,Complexity=0;ExperienceGroup=Low,Low,,0,,26,140,140,5.264285714285714,1.4122318388639046,0.11935537472789058,5.030349179819049,5.49822224875238,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,Complexity:ExperienceGroup,Complexity=1;ExperienceGroup=High,High,,1,,16,88,88,5.7272727272727275,1.1619174870032598,0.12386082028760283,5.484505519509026,5.970039935036429,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,Complexity:ExperienceGroup,Complexity=1;ExperienceGroup=Low,Low,,1,,26,136,136,5.389705882352941,1.5161979452401084,0.13001290120232883,5.134880595996377,5.644531168709506,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,DateBatch:ExperienceGroup,DateBatch=First_before_2026-05-01;ExperienceGroup=High,High,,,First_before_2026-05-01,6,64,64,5.625,1.1751393027860062,0.14689241284825078,5.337090870817429,5.912909129182571,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,DateBatch:ExperienceGroup,DateBatch=First_before_2026-05-01;ExperienceGroup=Low,Low,,,First_before_2026-05-01,21,221,221,5.398190045248869,1.4380530967850873,0.09673391945294742,5.208591563121092,5.587788527376646,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,DateBatch:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;ExperienceGroup=High,High,,,Second_2026-05-01_or_later,10,113,113,5.814159292035399,1.0901234576739107,0.10255018857483308,5.613160922428726,6.015157661642071,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,DateBatch:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;ExperienceGroup=Low,Low,,,Second_2026-05-01_or_later,5,55,55,5.036363636363636,1.5391632691250041,0.20754073287051036,4.629583799937436,5.443143472789837,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,DateBatch:WWR:ExperienceGroup,DateBatch=First_before_2026-05-01;WWR=15;ExperienceGroup=High,High,15,,First_before_2026-05-01,6,21,21,6.0476190476190474,1.1608699529314417,0.253322591967055,5.55110676736362,6.544131327874475,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,DateBatch:WWR:ExperienceGroup,DateBatch=First_before_2026-05-01;WWR=15;ExperienceGroup=Low,Low,15,,First_before_2026-05-01,21,74,74,5.662162162162162,1.306223533147633,0.1518454014000213,5.364545175418121,5.959779148906204,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,DateBatch:WWR:ExperienceGroup,DateBatch=First_before_2026-05-01;WWR=45;ExperienceGroup=High,High,45,,First_before_2026-05-01,6,21,21,5.571428571428571,0.9783367810436533,0.21349058829961806,5.15298701836132,5.989870124495822,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,DateBatch:WWR:ExperienceGroup,DateBatch=First_before_2026-05-01;WWR=45;ExperienceGroup=Low,Low,45,,First_before_2026-05-01,21,72,72,5.236111111111111,1.5518553689284282,0.18288790913167385,4.87765080921303,5.5945714130091915,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,DateBatch:WWR:ExperienceGroup,DateBatch=First_before_2026-05-01;WWR=75;ExperienceGroup=High,High,75,,First_before_2026-05-01,6,22,22,5.2727272727272725,1.2792042981336627,0.2727272727272727,4.738181818181818,5.807272727272727,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,DateBatch:WWR:ExperienceGroup,DateBatch=First_before_2026-05-01;WWR=75;ExperienceGroup=Low,Low,75,,First_before_2026-05-01,21,75,75,5.293333333333333,1.4310583244326305,0.1652443817674468,4.9694543450691375,5.6172123215975285,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,DateBatch:WWR:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;WWR=15;ExperienceGroup=High,High,15,,Second_2026-05-01_or_later,10,38,38,6.052631578947368,1.0120188124801117,0.16417112997159042,5.730856164203051,6.374406993691685,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,DateBatch:WWR:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;WWR=15;ExperienceGroup=Low,Low,15,,Second_2026-05-01_or_later,5,17,17,5.176470588235294,1.3339459376998315,0.3235294117647059,4.542352941176471,5.810588235294118,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,DateBatch:WWR:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;WWR=45;ExperienceGroup=High,High,45,,Second_2026-05-01_or_later,10,37,37,5.594594594594595,1.0918755387827828,0.17950323283938086,5.242768258229408,5.946420930959781,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,DateBatch:WWR:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;WWR=45;ExperienceGroup=Low,Low,45,,Second_2026-05-01_or_later,5,19,19,4.947368421052632,1.5446568914424657,0.3543685943284939,4.2528059761687835,5.64193086593648,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,DateBatch:WWR:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;WWR=75;ExperienceGroup=High,High,75,,Second_2026-05-01_or_later,10,38,38,5.7894736842105265,1.1427301290932217,0.18537530551044218,5.42613808541006,6.152809283010993,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S2,DateBatch:WWR:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;WWR=75;ExperienceGroup=Low,Low,75,,Second_2026-05-01_or_later,5,19,19,5.0,1.7638342073763937,0.40465131911125596,4.206883414541938,5.793116585458062,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,ExperienceGroup,ExperienceGroup=High,High,,,,16,177,177,5.508474576271187,1.4066346204028501,0.10572913252770692,5.301245476516882,5.715703676025492,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,ExperienceGroup,ExperienceGroup=Low,Low,,,,26,276,276,5.101449275362318,1.536417817569468,0.09248148483213807,4.9201855650913275,5.282712985633309,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,WWR:ExperienceGroup,WWR=15;ExperienceGroup=High,High,15,,,16,59,59,5.5423728813559325,1.5900773555061023,0.2070104392886078,5.136632420350261,5.948113342361604,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,WWR:ExperienceGroup,WWR=15;ExperienceGroup=Low,Low,15,,,26,91,91,5.252747252747253,1.418868145102572,0.14873779618187807,4.961221172230772,5.5442733332637335,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,WWR:ExperienceGroup,WWR=45;ExperienceGroup=High,High,45,,,16,58,58,5.655172413793103,1.3052085151413855,0.1713822742613505,5.319263156240856,5.99108167134535,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,WWR:ExperienceGroup,WWR=45;ExperienceGroup=Low,Low,45,,,26,91,91,5.21978021978022,1.5549362102114086,0.1630016051234465,4.9002970737382645,5.539263365822175,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,WWR:ExperienceGroup,WWR=75;ExperienceGroup=High,High,75,,,16,60,60,5.333333333333333,1.3105396309512296,0.16918993884063088,5.001721053205697,5.6649456134609695,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,WWR:ExperienceGroup,WWR=75;ExperienceGroup=Low,Low,75,,,26,94,94,4.840425531914893,1.6084667880852777,0.16590068191327956,4.515260195364865,5.165590868464921,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,Complexity:ExperienceGroup,Complexity=0;ExperienceGroup=High,High,,0,,16,89,89,5.584269662921348,1.4523412819247545,0.15394786798859592,5.2825318416637,5.886007484178996,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,Complexity:ExperienceGroup,Complexity=0;ExperienceGroup=Low,Low,,0,,26,140,140,5.057142857142857,1.6038237966846365,0.13554785056028637,4.791469070044696,5.322816644241018,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,Complexity:ExperienceGroup,Complexity=1;ExperienceGroup=High,High,,1,,16,88,88,5.431818181818182,1.3628524392464045,0.14528055816716223,5.147068287810543,5.71656807582582,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,Complexity:ExperienceGroup,Complexity=1;ExperienceGroup=Low,Low,,1,,26,136,136,5.147058823529412,1.468329419920152,0.1259082090197134,4.900278733850774,5.39383891320805,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,DateBatch:ExperienceGroup,DateBatch=First_before_2026-05-01;ExperienceGroup=High,High,,,First_before_2026-05-01,6,64,64,5.78125,1.362406251325497,0.17030078141568714,5.447460468425254,6.115039531574746,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,DateBatch:ExperienceGroup,DateBatch=First_before_2026-05-01;ExperienceGroup=Low,Low,,,First_before_2026-05-01,21,221,221,5.108597285067873,1.5629134582543576,0.10513293627383978,4.902536729971147,5.314657840164599,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,DateBatch:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;ExperienceGroup=High,High,,,Second_2026-05-01_or_later,10,113,113,5.353982300884955,1.413710631523985,0.13299070929303666,5.093320510670604,5.614644091099307,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,DateBatch:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;ExperienceGroup=Low,Low,,,Second_2026-05-01_or_later,5,55,55,5.072727272727272,1.4382930399215832,0.19393939393939394,4.69260606060606,5.452848484848484,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,DateBatch:WWR:ExperienceGroup,DateBatch=First_before_2026-05-01;WWR=15;ExperienceGroup=High,High,15,,First_before_2026-05-01,6,21,21,6.0476190476190474,1.4309504001254019,0.31225897734771435,5.435591452017527,6.659646643220568,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,DateBatch:WWR:ExperienceGroup,DateBatch=First_before_2026-05-01;WWR=15;ExperienceGroup=Low,Low,15,,First_before_2026-05-01,21,74,74,5.337837837837838,1.3974245099519471,0.16244729960465265,5.0194411306127185,5.656234545062957,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,DateBatch:WWR:ExperienceGroup,DateBatch=First_before_2026-05-01;WWR=45;ExperienceGroup=High,High,45,,First_before_2026-05-01,6,21,21,5.9523809523809526,1.2440333788202982,0.2714703393093186,5.420299087334688,6.484462817427217,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,DateBatch:WWR:ExperienceGroup,DateBatch=First_before_2026-05-01;WWR=45;ExperienceGroup=Low,Low,45,,First_before_2026-05-01,21,72,72,5.208333333333333,1.5738845815549303,0.18548407673707384,4.844784542928668,5.571882123737998,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,DateBatch:WWR:ExperienceGroup,DateBatch=First_before_2026-05-01;WWR=75;ExperienceGroup=High,High,75,,First_before_2026-05-01,6,22,22,5.363636363636363,1.364357673585582,0.2908820333737202,4.793507578223871,5.933765149048855,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,DateBatch:WWR:ExperienceGroup,DateBatch=First_before_2026-05-01;WWR=75;ExperienceGroup=Low,Low,75,,First_before_2026-05-01,21,75,75,4.786666666666667,1.6708416177818026,0.1929321715599107,4.408519610409242,5.164813722924092,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,DateBatch:WWR:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;WWR=15;ExperienceGroup=High,High,15,,Second_2026-05-01_or_later,10,38,38,5.2631578947368425,1.6222142113076252,0.2631578947368421,4.747368421052632,5.778947368421053,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,DateBatch:WWR:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;WWR=15;ExperienceGroup=Low,Low,15,,Second_2026-05-01_or_later,5,17,17,4.882352941176471,1.4950900031928043,0.3626125884099398,4.171632267892989,5.593073614459953,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,DateBatch:WWR:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;WWR=45;ExperienceGroup=High,High,45,,Second_2026-05-01_or_later,10,37,37,5.486486486486487,1.3254270092150517,0.21789885806212297,5.059404724684726,5.9135682482882475,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,DateBatch:WWR:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;WWR=45;ExperienceGroup=Low,Low,45,,Second_2026-05-01_or_later,5,19,19,5.2631578947368425,1.521771820505364,0.34911839898477887,4.578885832726676,5.947429956747009,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,DateBatch:WWR:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;WWR=75;ExperienceGroup=High,High,75,,Second_2026-05-01_or_later,10,38,38,5.315789473684211,1.2966748150952951,0.21034843124922753,4.9035065484357245,5.728072398932697,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S3,DateBatch:WWR:ExperienceGroup,DateBatch=Second_2026-05-01_or_later;WWR=75;ExperienceGroup=Low,Low,75,,Second_2026-05-01_or_later,5,19,19,5.052631578947368,1.3529262199858298,0.3103825616307742,4.4442817581510505,5.660981399743686,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S4,ExperienceGroup,ExperienceGroup=High,High,,,,16,177,177,5.451977401129944,1.397729099593346,0.10505975259333089,5.246060286047015,5.657894516212872,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S4,ExperienceGroup,ExperienceGroup=Low,Low,,,,26,276,276,5.144927536231884,1.5657735799983397,0.09424849408362951,4.96020048782797,5.329654584635797,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S4,WWR:ExperienceGroup,WWR=15;ExperienceGroup=High,High,15,,,16,59,59,5.627118644067797,1.4371704130080454,0.1871036509633783,5.260395488179575,5.9938417999560185,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S4,WWR:ExperienceGroup,WWR=15;ExperienceGroup=Low,Low,15,,,26,91,91,5.362637362637362,1.4796131890650304,0.15510560703106321,5.058630372856478,5.666644352418246,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S4,WWR:ExperienceGroup,WWR=45;ExperienceGroup=High,High,45,,,16,58,58,5.293103448275862,1.3766042722743674,0.18075699645180146,4.938819735230331,5.647387161321393,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S4,WWR:ExperienceGroup,WWR=45;ExperienceGroup=Low,Low,45,,,26,91,91,4.846153846153846,1.6324696827069303,0.17112932147899163,4.510740376055022,5.18156731625267,5.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S4,WWR:ExperienceGroup,WWR=75;ExperienceGroup=High,High,75,,,16,60,60,5.433333333333334,1.3822931900565942,0.1784532834888371,5.083564897695213,5.783101768971454,6.0,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
q_S4,WWR:ExperienceGroup,WWR=75;ExperienceGroup=Low,Low,75,,,26,94,94,5.223404255319149,1.5530355659897197,0.16018338789573472,4.909444815043509,5.53736369559479,5.5,"Scene-level questionnaire split; use for descriptive moderation exploration, not as proof of interaction by itself."
